,secID,totalSize,remainSize,firstAccrDate,maturityDate,firstRedempDate,publishDate,listDate,delistDate
333,113511.XSHG,3.56,0.189622,2018-06-20,2024-06-20,2020-05-29,2018-06-14,2018-07-10,2020-05-29
334,113516.XSHG,25.0,12.886305,2018-08-02,2024-08-02,2024-08-02,2018-07-31,2018-08-20,2024-08-01
335,113519.XSHG,7.0,6.969073,2018-11-07,2024-11-07,2024-11-07,2018-11-05,2018-11-30,2024-11-06
336,113534.XSHG,12.54,11.985645,2019-04-09,2025-04-09,2025-04-09,2019-04-04,2019-04-30,2025-04-08
337,113535.XSHG,5.0,4.999372,2019-05-09,2024-05-09,2024-05-09,2019-05-07,2019-06-03,2024-05-08
338,113536.XSHG,1.91565,1.9100650000000001,2019-05-31,2025-05-31,2025-05-31,2019-05-29,2019-06-24,2025-05-30
339,113541.XSHG,3.3,3.2995129999999997,2019-07-23,2025-07-23,2025-07-23,2019-07-19,2019-08-13,2025-07-22
340,113544.XSHG,10.0,9.99959,2019-09-20,2025-09-20,2025-09-20,2019-09-18,2019-10-15,2025-09-19
341,113547.XSHG,9.45,9.4499,2019-10-24,2025-10-24,2025-10-24,2019-10-22,2019-11-22,2025-10-23
342,113548.XSHG,3.6,3.2350830000000004,2019-10-28,2025-10-28,2025-10-28,2019-10-24,2019-11-22,2025-10-27
343,113552.XSHG,1.8,1.8,2019-12-02,2025-12-02,2025-12-02,2019-11-28,2019-12-19,2025-12-01
344,113553.XSHG,3.92,3.92,2019-12-13,2025-12-13,2025-12-13,2019-12-11,2020-01-07,2025-12-12
345,113563.XSHG,8.022,8.022,2020-01-16,2026-01-16,2026-01-16,2020-01-14,2020-02-24,2026-01-15
346,113564.XSHG,3.0,3.0,2020-02-28,2026-02-28,2026-02-28,2020-02-26,2020-03-16,2026-02-27
351,123004.XSHE,11.0,8.33163,2017-12-18,2023-12-18,2023-12-18,2017-01-23,2018-01-26,2023-12-17
352,123005.XSHE,9.0,0.0,2017-12-19,2023-12-19,2018-08-21,2017-12-19,2018-01-30,2018-08-29
353,123006.XSHE,46.5,0.6934170000000001,2017-12-20,2023-12-20,2019-05-20,2017-03-15,2018-01-29,2019-05-21
354,123008.XSHE,3.56,0.0,2018-02-01,2024-02-01,2019-05-07,2018-01-30,2018-03-19,2019-05-15
355,123010.XSHE,4.3,4.296768,2018-07-05,2024-07-05,2019-04-26,2018-07-03,2018-08-14,2024-07-04
356,123011.XSHE,5.647066000000001,2.507604,2018-07-18,2024-07-18,2024-07-18,2018-07-16,2018-08-14,2024-07-17
357,123014.XSHE,3.4989480000000004,1.162996,2018-07-27,2023-07-27,2023-07-27,2018-07-25,2018-08-21,2023-07-26
358,123023.XSHE,6.0,5.9996220000000005,2019-03-20,2025-03-20,2025-03-20,2019-03-18,2019-04-16,2025-03-19
359,123024.XSHE,2.1,2.098705,2019-03-21,2024-03-21,2024-03-21,2019-03-18,2019-04-17,2024-03-20
360,123027.XSHE,3.4,2.527032,2019-06-11,2025-06-11,2025-06-11,2019-06-06,2019-07-04,2025-06-10
361,123028.XSHE,4.9,4.89824,2019-06-19,2025-06-19,2025-06-19,2019-06-17,2019-07-15,2025-06-18
362,123035.XSHE,8.0,7.999867999999999,2019-11-14,2025-11-14,2025-11-14,2019-11-12,2019-12-09,2025-11-13
363,123044.XSHE,5.85,5.85,2020-03-12,2026-03-12,2026-03-12,2020-03-10,2020-04-13,2026-03-11
364,123045.XSHE,2.885,2.885,2020-03-12,2026-03-12,2026-03-12,2020-03-10,2020-04-13,2026-03-11
365,123046.XSHE,3.99,3.99,2020-03-19,2026-03-19,2026-03-19,2020-03-17,2020-04-17,2026-03-18
368,127004.XSHE,8.1366,0.6787310000000001,2017-06-02,2023-06-02,2023-06-02,2016-05-27,2017-06-26,2023-06-01
369,127006.XSHE,24.13,24.074053,2018-03-13,2024-03-13,2024-03-13,2018-03-09,2018-05-11,2024-03-12
370,127015.XSHE,40.0,40.0,2020-01-03,2026-01-03,2026-01-03,2019-12-31,2020-02-04,2026-01-02
374,128013.XSHE,12.0,11.99912,2016-07-29,2022-07-29,2022-07-29,2015-11-21,2016-08-23,2022-07-28
375,128015.XSHE,7.8,7.793689,2017-06-08,2023-06-08,2020-04-13,2016-07-29,2017-06-27,2023-06-07
376,128016.XSHE,18.4,0.0,2017-09-25,2023-09-25,2020-04-14,2016-11-01,2017-10-20,2020-04-22
377,128032.XSHE,10.0,9.99462,2017-12-25,2023-12-25,2023-12-25,2017-03-22,2018-01-25,2023-12-24
378,128043.XSHE,2.8132,0.73666,2018-08-02,2024-08-02,2024-08-02,2018-07-31,2018-08-27,2024-08-01
379,128044.XSHE,6.6,6.592726,2018-08-14,2024-08-14,2024-08-14,2018-08-10,2018-09-04,2024-08-13
380,128045.XSHE,21.0,20.997863,2018-08-27,2024-08-27,2024-08-27,2018-08-23,2018-09-14,2024-08-26
381,128050.XSHE,3.2,3.198919,2018-12-10,2024-12-10,2024-12-10,2018-12-06,2018-12-27,2024-12-09
382,128054.XSHE,1.9424,1.439096,2019-02-15,2025-02-15,2025-02-15,2019-02-13,2019-03-14,2025-02-14
383,128059.XSHE,9.418304,9.416217999999999,2019-03-11,2025-03-11,2025-03-11,2019-03-07,2019-04-02,2025-03-10
384,128060.XSHE,5.25,0.002919,2019-03-26,2025-03-26,2020-03-20,2019-03-22,2019-04-15,2020-03-30
385,128066.XSHE,4.8,4.799259999999999,2019-04-17,2025-04-17,2025-04-17,2019-04-15,2019-05-14,2025-04-16
386,128069.XSHE,3.0,2.998491,2019-06-24,2025-06-24,2025-06-24,2019-06-20,2019-07-11,2025-06-23
387,128070.XSHE,2.3,2.29845,2019-07-02,2025-07-02,2025-07-02,2019-06-28,2019-07-23,2025-07-01
388,128071.XSHE,5.9575,5.956906,2019-08-16,2025-08-16,2025-08-16,2019-08-14,2019-09-16,2025-08-15
389,128073.XSHE,3.0,2.998829,2019-08-22,2024-08-22,2024-08-22,2019-08-20,2019-09-11,2024-08-21
390,128079.XSHE,2.14,2.0929189999999998,2019-10-21,2025-10-21,2025-10-21,2019-10-17,2019-11-21,2025-10-20
391,128080.XSHE,58.0,57.998691,2019-11-18,2025-11-18,2025-11-18,2019-11-14,2019-12-09,2025-11-17
392,128084.XSHE,26.600177000000002,26.600177000000002,2019-12-16,2025-12-16,2025-12-16,2019-12-11,2020-01-10,2025-12-15
393,128086.XSHE,18.5,18.5,2019-12-17,2025-12-17,2025-12-17,2019-12-13,2020-01-10,2025-12-16
394,128089.XSHE,6.55,6.55,2019-12-26,2025-12-26,2025-12-26,2019-12-24,2020-01-21,2025-12-25
395,128092.XSHE,12.427999999999999,12.427999999999999,2019-12-30,2025-12-30,2025-12-30,2019-12-26,2020-01-22,2025-12-29
396,128093.XSHE,5.2,5.2,2020-01-03,2026-01-03,2026-01-03,2019-12-31,2020-01-21,2026-01-02
397,128094.XSHE,2.8,2.8,2020-01-16,2026-01-16,2026-01-16,2020-01-14,2020-02-19,2026-01-15
398,128101.XSHE,3.0,3.0,2020-03-16,2026-03-16,2026-03-16,2020-03-12,2020-04-13,2026-03-15
401,110030.XSHG,9.8,0.0,2014-12-25,2019-12-25,2018-09-03,2013-09-07,2015-01-13,2019-12-25
403,113521.XSHG,6.1,1.6310360000000002,2018-11-16,2024-11-16,2024-11-16,2018-11-14,2018-12-07,2024-11-15
404,113562.XSHG,8.7,8.7,2020-01-02,2025-01-02,2025-01-02,2019-12-30,2020-02-04,2025-01-01
405,113568.XSHG,3.3,3.3,2020-03-06,2026-03-06,2026-03-06,2020-03-04,2020-04-02,2026-03-05
406,123007.XSHE,4.8,3.040871,2017-12-28,2023-12-28,2023-12-28,2017-07-21,2018-01-26,2023-12-27
407,123013.XSHE,1.4,0.382814,2018-07-26,2024-07-26,2024-07-26,2018-07-24,2018-08-20,2024-07-25
408,128040.XSHE,2.24,2.22313,2018-06-14,2024-06-14,2024-06-14,2018-06-12,2018-07-13,2024-06-13
409,128074.XSHE,11.5,11.49743,2019-09-23,2025-09-23,2025-09-23,2019-09-19,2019-10-21,2025-09-22
